"Home","Home"
"Search entire store here...","Digite e aperte Enter"
"Your Language:","Language:"
"Currency:","Currency:"
"Shopping cart","Carrinho"
"BAG","CARRINHO"
"item(s)","item(s)"
"Navigation","Navegação"
"Special Price",""
"Special Price:",""
"Regular Price:",""
"Newsletter","assine nossa news"
"Your email","Seu email"
"Subscribe","Assinar"
"Sign Up","Registrar"
"My Wishlist","Lista de Desejos"
"My Wishlist (%d item)","Lista de Desejos (%d)"
"My Wishlist (%d items)","Lista de Desejos (%d)"
"My Account","Conta"
"Cart","Carrinho"
"View contents of your shopping cart","Ver o conteúdo de seu carrinho"
"View shopping cart","Ver carrinho de compras"
"Your cart is empty","Seu carrnho está vazio"
"Continue to Checkout","Continue para finalizar"
"Currency","Currency"
"Language","Language"
"Sign Up","Registrar"
"Enter your e-mail","Digite seu e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Sign Up","Registrar"
"From Twitter","Twitter"
"Facebook","Facebook"
"Categories","Categorias"
"Related Products","Produtos Relacionados"
"Popular Products","Produtos Populares"
"Availability:",""
"Sign In","Registrar"
"Create an Account","Registrar"
"No tags connected to product","Nenhuma tag canectada ao produto"
"View as","Ver"
"Price","Preço"
"Price Slider","Price Slider"
"prev","Anterior"
"next","Próximo"
"Qty","Quantidade"
"You may also be interested in the following product(s)","Nos recomendamos"
"Unable to find Product ID","Unable to find Product ID"
"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Quote item is not found.","Quote item is not found."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Cannot update the item.","Cannot update the item."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"Wishlist Has Been Disabled By Admin","Wishlist Has Been Disabled By Admin"
"Please Login First","Faça o Login primeiro"
"Unable to Create Wishlist","Unable to Create Wishlist"
"Product Not Found","Produto não encontradoProduct Not Found"
"Cannot specify product.","Cannot specify product."
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"View Cart","Ver Carrinho"
"Continue to Checkout","Finalizar Pedido"
"Edit item","Editar item"
"Remove This Item","Remover este item"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Description","Descrição"
"Short Description","Short Description"
"No tags connected to product","No tags connected to product"
"You need to specify a username","You need to specify a username"
"There was an error connecting to your Twitter account","There was an error connecting to your Twitter account"
"Follow us","Siga-nos"
"on Twitter","no Twitter"
"On Sale","Em Vendas"
"New Products","Novos Produtos"
"quick view","espiar"
"WRITE YOUR REVIEW", "ESCREVA UM COMENTÁRIO"
"more...","mais..."
"less...","menos..."
"Popular Brands","Marcas Populares"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'"">aqui para imprimir</a> uma cópia da sua confirmação de pedido."
